Country,Average GDP per capita,Average Life expectancy at birth,Average Total population,Region,Color
"Korea, Dem. Rep.",2183.584321,63.54077049,17294862.75,East Asia & Pacific,red
China,1970.824463,62.00298361,982046723,East Asia & Pacific,red
Sri Lanka,1966.871311,65.7042459,14919546,South Asia,lt. blue
Cote d'Ivoire,1917.264754,47.64983607,9910444.902,Sub-Saharan Africa,blue
South Sudan,1848.069508,47.80647547,4686658,Sub-Saharan Africa,blue
Sudan,1838.506721,49.67368852,18098557.79,Sub-Saharan Africa,blue
Indonesia,1817.461891,56.39362295,155378274.9,East Asia & Pacific,red
Cameroon,1783.154098,47.91177049,10445356.1,Sub-Saharan Africa,blue
Mongolia,1775.510773,57.19029508,1743974.918,East Asia & Pacific,red
Haiti,1611.324262,50.86696721,6218255.344,America,yellow
"Yemen, Rep.",1601.182049,49.31340984,10843528.1,Middle East & North Africa,green
Nigeria,1539.636272,43.81804918,84829309.3,Sub-Saharan Africa,blue
Senegal,1532.32541,47.66303279,6280306.574,Sub-Saharan Africa,blue
Pakistan,1491.65948,56.06990164,93337171.48,South Asia,lt. blue
Cape Verde,1415.385626,59.69379661,325254.4068,Sub-Saharan Africa,blue
Sao Tome and Principe,1403.192427,57.5707377,101241.6066,Sub-Saharan Africa,blue
Mauritania,1385.153179,50.87047541,1745150.492,Sub-Saharan Africa,blue
Zambia,1364.346885,46.82306557,6609379.852,Sub-Saharan Africa,blue
Madagascar,1333.455329,49.48096721,10134449.66,Sub-Saharan Africa,blue
Comoros,1319.80918,51.46888525,376189.7213,Sub-Saharan Africa,blue
Laos,1217.574081,51.96585246,3665864.18,East Asia & Pacific,red
Kenya,1212.572982,52.97703279,19482512.11,Sub-Saharan Africa,blue
Chad,1199.339301,45.8807377,5517909.656,Sub-Saharan Africa,blue
India,1169.139305,53.40331148,751712360.5,South Asia,lt. blue
Benin,1158.87664,44.69537705,4394703.656,Sub-Saharan Africa,blue
Togo,1158.674167,48.28688525,3145839.18,Sub-Saharan Africa,blue
Somalia,1102.409459,42.51704918,5431243.049,Sub-Saharan Africa,blue
Sierra Leone,1085.53419,38.05203279,3388793.77,Sub-Saharan Africa,blue
Vietnam,1084.205117,57.6785082,57391861.39,East Asia & Pacific,red
Ghana,1074.095741,52.95883607,12846599.05,Sub-Saharan Africa,blue
Central African Rep.,947.9543186,43.46819672,2567237,Sub-Saharan Africa,blue
Myanmar,882.5764536,53.20965574,33262430.62,East Asia & Pacific,red
Tanzania,865.0374287,48.71367213,21938808.62,Sub-Saharan Africa,blue
Bangladesh,857.9707771,54.70047541,89255396.77,South Asia,lt. blue
Burkina Faso,856.3111966,44.50886885,8495238.541,Sub-Saharan Africa,blue
Uganda,828.1015571,47.51303279,15437229.43,Sub-Saharan Africa,blue
Afghanistan,823.3282829,38.84827869,15823532.79,South Asia,lt. blue
Lesotho,820.3627565,50.13713115,1397268.836,Sub-Saharan Africa,blue
Nepal,808.5239723,50.05480328,16904222.95,South Asia,lt. blue
Guinea,785.3454429,40.27259016,5601889.754,Sub-Saharan Africa,blue
Niger,779.2892399,42.19063934,7058025.033,Sub-Saharan Africa,blue
Cambodia,726.3019778,48.5242623,8561079.23,East Asia & Pacific,red
Mali,691.7456589,39.69734426,8255526.672,Sub-Saharan Africa,blue
Rwanda,685.240465,45.19836066,5495346.016,Sub-Saharan Africa,blue
Gambia,680.1538181,45.76839344,808053.6557,Sub-Saharan Africa,blue
Guinea-Bissau,673.8484134,40.13260656,899825.6393,Sub-Saharan Africa,blue
"Congo, Dem. Rep.",649.886113,44.59259016,32217396.07,Sub-Saharan Africa,blue
Zimbabwe,637.2803703,53.11760656,7975630.967,Sub-Saharan Africa,blue
Liberia,591.328874,43.00832787,1999271.262,Sub-Saharan Africa,blue
Malawi,588.8774809,43.67901639,7403543.672,Sub-Saharan Africa,blue
Mozambique,560.7176776,41.57534426,12976867.23,Sub-Saharan Africa,blue
Eritrea,539.919624,46.92163934,2680764.311,Sub-Saharan Africa,blue
Ethiopia,525.7868252,45.41780328,43073079.39,Sub-Saharan Africa,blue
Burundi,472.5573745,44.92077049,4753657.213,Sub-Saharan Africa,blue
